Customer_Id,Age,Region,Category,Payment_Mode,Frequency,Monetary,Average_Order_Value,Tenure_Days,Complaint_Return_Count,Delivery_Days,Avg_Session_Time,Cart_Abandon_Rate,Recency,Churn_Flag
10001,46.0,North,Sports,UPI,5,6785.91,2192.55,1145,1,5.0,3.9,0.84,101,1
10002,56.0,North,Sports,UPI,4,3449.32,2609.13,350,1,4.7,4.3,0.44,61,1
10003,30.0,West,Sports,UPI,4,6232.54,1986.72,1228,1,4.6,9.1,0.7,81,0
10004,61.0,North,Fashion,Card,10,3588.31,3218.54,851,1,1.5,7.4,0.76,48,0
10005,63.0,East,Home,Card,3,4025.49,813.46,693,2,3.3,9.1,0.54,64,0
10006,26.0,South,Beauty,Card,6,13036.23,3626.74,1401,1,1.2,2.6,0.7,95,1
10007,26.0,West,Electronics,COD,6,16744.09,1695.72,232,0,6.5,8.4,0.78,68,0
10008,37.0,North,Beauty,Card,4,7473.78,1511.96,1413,3,3.3,3.2,0.34,48,1
10009,26.0,South,Fashion,Card,5,5817.45,1800.95,1590,1,3.2,6.3,0.76,99,0
10010,42.0,North,Beauty,COD,10,9278.02,1360.61,237,0,6.2,3.2,0.8,33,0
10011,32.0,South,Beauty,COD,2,8747.37,771.81,210,0,6.5,9.5,0.74,79,0
10012,51.0,West,Home,Card,3,10797.44,1987.52,114,2,6.1,4.9,0.21,39,1
10013,31.0,East,Sports,UPI,7,12101.76,572.42,399,1,6.0,7.9,0.52,49,0
10014,62.0,East,Home,UPI,5,19011.52,3475.44,1068,1,5.7,5.9,0.17,50,0
10015,30.0,West,Home,UPI,6,13212.87,3123.42,34,2,1.4,3.5,0.41,64,0
10016,23.0,North,Electronics,UPI,10,19809.82,2038.23,1021,0,4.6,10.5,0.65,25,0
10017,22.0,West,Fashion,UPI,6,7464.67,4454.45,774,1,4.7,6.4,0.56,60,0
10018,49.0,East,Electronics,UPI,5,4516.76,1604.89,1512,0,2.2,7.1,0.05,91,1
10019,39.0,West,Home,Card,5,8193.53,6173.44,86,0,6.5,6.7,0.82,77,1
10020,41.0,North,Electronics,UPI,8,7002.54,2012.1,1234,2,4.5,7.2,0.57,30,0
10021,59.0,South,Home,UPI,4,11338.49,1642.65,1437,0,4.6,6.2,0.57,76,0
10022,42.0,South,Fashion,UPI,2,3174.17,2210.57,1270,1,6.7,8.8,0.62,85,1
10023,45.0,North,Home,COD,7,9702.18,3487.75,161,0,4.0,10.7,0.81,57,0
10024,58.0,South,Fashion,COD,6,14999.53,4089.21,622,0,4.6,8.3,0.65,78,0
10025,52.0,West,Electronics,UPI,7,9394.92,1371.86,1248,0,5.1,6.0,0.61,66,0
10026,24.0,South,Sports,UPI,12,15539.1,1324.97,181,1,3.4,7.1,0.5,39,0
10027,62.0,West,Home,UPI,8,8088.84,4659.4,1384,0,7.0,6.5,0.29,46,0
10028,24.0,South,Home,Net Banking,7,9699.64,1776.61,1291,0,6.8,12.0,0.38,52,0
10029,28.0,South,Beauty,COD,8,14681.19,3497.94,1440,0,1.9,11.4,0.61,39,0
10030,53.0,North,Sports,Card,6,36096.59,1246.21,251,0,6.1,12.9,0.83,68,0
10031,46.0,West,Home,UPI,4,2939.5,4809.71,323,3,5.8,9.2,0.74,71,0
10032,35.0,North,Home,Card,5,17868.87,3702.62,1037,2,4.6,9.1,0.16,38,0
10033,18.0,West,Beauty,UPI,5,25257.05,3133.49,858,2,4.6,5.6,0.43,68,0
10034,22.0,North,Fashion,UPI,8,17947.34,690.02,166,0,4.5,8.6,0.4,44,0
10035,27.0,West,Home,UPI,5,3675.8,2293.58,531,0,6.3,7.4,0.44,59,0
10036,30.0,South,Beauty,COD,3,6594.43,4935.64,914,0,5.6,8.7,0.72,103,1
10037,41.0,West,Sports,COD,4,11734.06,1409.25,172,2,2.7,11.5,0.09,31,0
10038,58.0,South,Sports,COD,6,9740.28,137.77,738,0,3.3,3.2,0.51,68,1
10039,61.0,East,Sports,Card,7,5042.38,1466.57,410,0,6.0,2.7,0.67,55,1
10040,37.0,East,Home,UPI,3,6954.32,3515.19,1577,1,6.1,10.4,0.31,66,0
10041,29.0,East,Sports,Net Banking,8,10668.52,672.81,1125,0,3.9,3.1,0.73,67,0
10042,45.0,East,Fashion,UPI,5,4797.73,1636.4,620,2,6.1,2.2,0.48,33,0
10043,45.0,West,Sports,COD,9,3399.3,1321.66,714,0,8.2,6.0,0.32,40,0
10044,63.0,West,Home,Net Banking,4,11359.83,880.56,1405,0,5.4,6.5,0.19,47,0
10045,50.0,South,Sports,Card,5,9615.54,1585.15,920,1,4.6,7.0,0.74,60,0
10046,22.0,West,Beauty,UPI,12,14128.25,1670.61,1432,0,1.5,8.3,0.79,39,0
10047,31.0,South,Beauty,Net Banking,3,10322.58,1278.99,1018,1,3.4,4.2,0.41,59,0
10048,49.0,South,Electronics,COD,5,15877.26,1175.7,1268,0,1.5,9.0,0.78,41,0
10049,20.0,South,Electronics,Card,5,3126.32,2586.95,300,0,3.1,7.2,0.45,71,1
10050,38.0,West,Beauty,UPI,7,21233.78,1240.89,879,0,4.2,6.6,0.32,68,0
10051,48.0,West,Fashion,UPI,5,3067.2,1473.07,733,1,4.6,8.4,0.8,64,0
10052,26.0,North,Sports,UPI,6,9646.35,1283.69,232,1,1.9,1.0,0.6,60,0
10053,60.0,West,Home,UPI,9,8351.95,1956.87,387,0,5.3,1.0,0.23,35,0
10054,64.0,South,Fashion,Net Banking,2,6895.81,2591.94,596,0,6.5,7.9,0.6,75,1
10055,37.0,East,Home,UPI,8,7221.64,7443.1,838,0,2.2,5.8,0.4,68,1
10056,37.0,South,Sports,UPI,8,13095.84,1101.47,1123,0,5.2,5.8,0.23,7,0
10057,64.0,West,Sports,UPI,4,7899.26,3458.14,1597,2,7.1,1.0,0.13,55,1
10058,22.0,West,Beauty,Card,6,4427.32,635.46,539,0,6.2,11.6,0.38,49,0
10059,31.0,East,Sports,Card,4,7572.52,1493.61,783,0,2.9,9.3,0.19,71,0
10060,23.0,South,Fashion,Net Banking,8,3595.46,1038.62,998,2,3.1,5.8,0.13,45,0
10061,41.0,South,Sports,Card,2,20436.09,1488.98,233,0,7.0,8.1,0.61,84,1
10062,53.0,South,Home,UPI,6,8025.64,2292.23,1599,0,4.6,5.1,0.13,34,0
10063,28.0,West,Sports,COD,8,3922.65,3756.19,1110,1,4.5,3.6,0.59,80,0
10064,65.0,West,Electronics,Net Banking,8,2970.69,2891.9,222,1,2.9,7.6,0.48,36,0
10065,55.0,West,Electronics,Card,3,15983.8,4954.0,919,1,1.7,8.8,0.33,34,0
10066,27.0,South,Electronics,UPI,5,5500.26,2531.13,1312,0,4.1,6.2,0.59,97,1
10067,58.0,South,Sports,Card,4,13197.48,1350.95,374,0,3.5,2.7,0.8,59,1
