Order_Id,Order_Date,Region,Category,Payment_Mode,Quantity,Unit_Price,Discount_Amount,Total_Sales_Amount,Month
50001,2025-01-01 00:00:00,North,Fashion,Net Banking,3,1866.05,360.19,5237.96,2025-01
50002,2025-01-01 03:00:00,North,Fashion,Card,4,797.18,556.91,2631.81,2025-01
50003,2025-01-01 06:00:00,East,Fashion,UPI,4,1260.7,587.75,4455.05,2025-01
50004,2025-01-01 09:00:00,North,Electronics,Net Banking,3,767.27,59.09,2242.72,2025-01
50005,2025-01-01 12:00:00,East,Home,COD,3,1809.88,565.18,4864.46,2025-01
50006,2025-01-01 15:00:00,South,Sports,UPI,2,740.57,148.23,1332.91,2025-01
50007,2025-01-01 18:00:00,South,Beauty,UPI,4,492.12,275.55,1692.93,2025-01
50008,2025-01-01 21:00:00,South,Electronics,COD,5,850.44,304.46,3947.7400000000007,2025-01
50009,2025-01-02 00:00:00,South,Fashion,Net Banking,2,1493.12,76.74,2909.5,2025-01
50010,2025-01-02 03:00:00,South,Fashion,Card,4,679.95,564.65,2155.15,2025-01
50011,2025-01-02 06:00:00,North,Electronics,Card,5,759.81,185.39,3613.66,2025-01
50012,2025-01-02 09:00:00,North,Sports,Card,1,2608.83,450.96,2157.87,2025-01
50013,2025-01-02 12:00:00,North,Fashion,UPI,3,1168.78,528.68,2977.6600000000003,2025-01
50014,2025-01-02 15:00:00,North,Beauty,UPI,1,1903.75,343.48,1560.27,2025-01
50015,2025-01-02 18:00:00,East,Home,Net Banking,1,1969.16,156.1,1813.0600000000002,2025-01
50016,2025-01-02 21:00:00,West,Electronics,UPI,3,1008.91,527.78,2498.95,2025-01
50017,2025-01-03 00:00:00,East,Home,UPI,4,1849.33,447.59,6949.73,2025-01
50018,2025-01-03 03:00:00,North,Beauty,COD,1,867.77,535.68,332.09000000000003,2025-01
50019,2025-01-03 06:00:00,South,Sports,COD,4,1159.18,347.75,4288.97,2025-01
50020,2025-01-03 09:00:00,West,Electronics,COD,4,539.02,78.83,2077.25,2025-01
50021,2025-01-03 12:00:00,North,Sports,COD,2,643.0,332.03,953.97,2025-01
50022,2025-01-03 15:00:00,East,Home,COD,5,578.47,558.12,2334.2300000000005,2025-01
50023,2025-01-03 18:00:00,West,Beauty,UPI,4,1423.67,580.92,5113.76,2025-01
50024,2025-01-03 21:00:00,North,Electronics,COD,1,1321.33,20.72,1300.61,2025-01
50025,2025-01-04 00:00:00,South,Sports,Card,2,575.48,473.15,677.8100000000001,2025-01
50026,2025-01-04 03:00:00,South,Home,UPI,5,664.48,22.71,3299.69,2025-01
50027,2025-01-04 06:00:00,West,Fashion,UPI,4,1511.39,172.84,5872.72,2025-01
50028,2025-01-04 09:00:00,East,Sports,UPI,3,1824.61,339.98,5133.85,2025-01
50029,2025-01-04 12:00:00,North,Home,UPI,3,1010.74,416.6,2615.6200000000003,2025-01
50030,2025-01-04 15:00:00,South,Home,UPI,3,1201.18,209.83,3393.71,2025-01
50031,2025-01-04 18:00:00,North,Home,UPI,1,1407.04,379.31,1027.73,2025-01
50032,2025-01-04 21:00:00,East,Electronics,UPI,2,1096.86,415.45,1778.2699999999998,2025-01
50033,2025-01-05 00:00:00,West,Fashion,UPI,3,944.39,99.65,2733.52,2025-01
50034,2025-01-05 03:00:00,West,Sports,Card,5,692.24,217.86,3243.3399999999997,2025-01
50035,2025-01-05 06:00:00,South,Beauty,UPI,5,1911.45,271.97,9285.28,2025-01
50036,2025-01-05 09:00:00,West,Electronics,COD,4,1338.38,0.11,5353.410000000001,2025-01
50037,2025-01-05 12:00:00,West,Fashion,Card,1,673.37,115.35,558.02,2025-01
50038,2025-01-05 15:00:00,East,Sports,Card,5,491.21,370.84,2085.2099999999996,2025-01
50039,2025-01-05 18:00:00,South,Sports,COD,4,1191.32,85.18,4680.099999999999,2025-01
50040,2025-01-05 21:00:00,East,Fashion,UPI,5,1964.6,463.34,9359.66,2025-01
50041,2025-01-06 00:00:00,West,Home,UPI,4,1387.77,454.33,5096.75,2025-01
50042,2025-01-06 03:00:00,North,Fashion,COD,5,1023.91,242.25,4877.3,2025-01
50043,2025-01-06 06:00:00,South,Home,Card,3,2235.19,289.49,6416.08,2025-01
50044,2025-01-06 09:00:00,South,Electronics,Card,2,2938.96,290.65,5587.27,2025-01
50045,2025-01-06 12:00:00,West,Home,Card,4,1728.33,405.1,6508.219999999999,2025-01
50046,2025-01-06 15:00:00,South,Fashion,UPI,2,1804.65,263.58,3345.7200000000003,2025-01
50047,2025-01-06 18:00:00,North,Beauty,Card,2,948.6,307.8,1589.4,2025-01
50048,2025-01-06 21:00:00,South,Electronics,UPI,5,1145.03,212.62,5512.53,2025-01
50049,2025-01-07 00:00:00,South,Sports,UPI,3,841.36,312.87,2211.21,2025-01
50050,2025-01-07 03:00:00,North,Beauty,Net Banking,5,1104.0,137.73,5382.27,2025-01
50051,2025-01-07 06:00:00,East,Sports,UPI,3,314.32,409.02,533.94,2025-01
